Date : 2025-04-28 03:48:22
Directory : d:\flutter_app\first_app
Total : 103 files,  27288 codes, 1495 comments, 2414 blanks, all 31197 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| d:\flutter_app\first_app\lib\services\google_sheets_export_service.dart                | Dart       |        252 |          3 |         44 |        299 |
| d:\flutter_app\first_app\lib\services\google_sheets_service.dart                       | Dart       |        656 |         79 |        122 |        857 |
| d:\flutter_app\first_app\lib\services\language_service.dart                            | Dart       |        687 |         77 |         78 |        842 |
| d:\flutter_app\first_app\lib\services\quran_database_service.dart                      | Dart       |        215 |         26 |         50 |        291 |
| d:\flutter_app\first_app\lib\services\script_based_export_service.dart                 | Dart       |        215 |         10 |         49 |        274 |
| d:\flutter_app\first_app\lib\services\script_based_recovery_service.dart               | Dart       |        196 |         14 |         32 |        242 |
| d:\flutter_app\first_app\lib\services\user_database_service.dart                       | Dart       |        128 |          2 |         19 |        149 |
| d:\flutter_app\first_app\lib\utils\asset_utils.dart                                    | Dart       |         76 |          9 |         11 |         96 |
| d:\flutter_app\first_app\lib\utils\image_cache_manager.dart                            | Dart       |         36 |          7 |          6 |         49 |
| d:\flutter_app\first_app\lib\utils\logger.dart                                         | Dart       |         38 |          0 |          8 |         46 |
| d:\flutter_app\first_app\lib\widgets\app_lifecycle_observer.dart                       | Dart       |         19 |          0 |          2 |         21 |
| d:\flutter_app\first_app\lib\widgets\bottom_nav_bar.dart                               | Dart       |         82 |          4 |          5 |         91 |
| d:\flutter_app\first_app\lib\widgets\feature_grid.dart                                 | Dart       |        152 |          5 |          4 |        161 |
| d:\flutter_app\first_app\lib\widgets\prayer_card.dart                                  | Dart       |        298 |         15 |         13 |        326 |
| d:\flutter_app\first_app\lib\widgets\surah_tile.dart                                   | Dart       |        109 |          3 |          7 |        119 |
| d:\flutter_app\first_app\lib\widgets\top_bar.dart                                      | Dart       |        184 |          6 |          9 |        199 |
| d:\flutter_app\first_app\lib\widgets\translated_text.dart                              | Dart       |         53 |          8 |         12 |         73 |
| d:\flutter_app\first_app\lib\widgets\verse_of_the_day.dart                             | Dart       |        134 |          6 |          4 |        144 |
| d:\flutter_app\first_app\linux\flutter\generated_plugin_registrant.cc                  | C++        |         11 |          4 |          5 |         20 |
| d:\flutter_app\first_app\linux\flutter\generated_plugin_registrant.h                   | C++        |          5 |          5 |          6 |         16 |
| d:\flutter_app\first_app\linux\runner\main.cc                                          | C++        |          5 |          0 |          2 |          7 |
| d:\flutter_app\first_app\linux\runner\my_application.cc                                | C++        |         83 |         21 |         27 |        131 |
| d:\flutter_app\first_app\linux\runner\my_application.h                                 | C++        |          7 |          7 |          5 |         19 |
| d:\flutter_app\first_app\macos\Flutter\GeneratedPluginRegistrant.swift                 | Swift      |         22 |          3 |          4 |         29 |
| d:\flutter_app\first_app\macos\RunnerTests\RunnerTests.swift                           | Swift      |          7 |          2 |          4 |         13 |
| d:\flutter_app\first_app\macos\Runner\AppDelegate.swift                                | Swift      |         11 |          0 |          3 |         14 |
| d:\flutter_app\first_app\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json | JSON       |         68 |          0 |          0 |         68 |
| d:\flutter_app\first_app\macos\Runner\Base.lproj\MainMenu.xib                          | XML        |        343 |          0 |          1 |        344 |
| d:\flutter_app\first_app\macos\Runner\MainFlutterWindow.swift                          | Swift      |         12 |          0 |          4 |         16 |
| d:\flutter_app\first_app\pubspec.yaml                                                  | YAML       |         65 |         55 |         15 |        135 |
| d:\flutter_app\first_app\test\widget_test.dart                                         | Dart       |         14 |         10 |          7 |         31 |
| d:\flutter_app\first_app\web\index.html                                                | HTML       |         19 |         15 |          5 |         39 |
| d:\flutter_app\first_app\web\manifest.json                                             | JSON       |         35 |          0 |          0 |         35 |
| d:\flutter_app\first_app\windows\flutter\generated_plugin_registrant.cc                | C++        |         15 |          4 |          5 |         24 |
| d:\flutter_app\first_app\windows\flutter\generated_plugin_registrant.h                 | C++        |          5 |          5 |          6 |         16 |
| d:\flutter_app\first_app\windows\runner\flutter_window.cpp                             | C++        |         49 |          7 |         16 |         72 |
| d:\flutter_app\first_app\windows\runner\flutter_window.h                               | C++        |         20 |          5 |          9 |         34 |
| d:\flutter_app\first_app\windows\runner\main.cpp                                       | C++        |         30 |          4 |         10 |         44 |
| d:\flutter_app\first_app\windows\runner\resource.h                                     | C++        |          9 |          6 |          2 |         17 |
| d:\flutter_app\first_app\windows\runner\utils.cpp                                      | C++        |         54 |          2 |         10 |         66 |
| d:\flutter_app\first_app\windows\runner\utils.h                                        | C++        |          8 |          6 |          6 |         20 |
| d:\flutter_app\first_app\windows\runner\win32_window.cpp                               | C++        |        210 |         24 |         55 |        289 |
| d:\flutter_app\first_app\windows\runner\win32_window.h                                 | C++        |         48 |         31 |         24 |        103 |
| Total                                                                                  |            |     27,288 |      1,495 |      2,414 |     31,197 |
+----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
